Name,PCA,IncrementalPCA,RandomTreesEmbedding,SelectKBest,SpectralEmbedding,TruncatedSVD,LDA,LLE,KPCA,t-SNE
heart-statlog_did53,0.825925925925926,0.825925925925926,0.788888888888889,0.8407407407407408,0.837037037037037,0.825925925925926,0.7851851851851852,0.7777777777777777,0.8185185185185185,0.8333333333333334
hepatitis_c_virus_hcv_for_egyptian_patients_did46850,0.2649819494584837,0.2642599277978339,0.244043321299639,0.2736462093862816,0.2534296028880866,0.2635379061371841,0.2375451263537906,0.2750902527075812,0.2736462093862816,0.2642599277978339
house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44387,0.8180000000000002,0.8180000000000002,0.7959999999999999,0.8105,0.798,0.8180000000000002,0.65,0.7526666666666666,0.8230000000000001,0.8074999999999999
ilpd-numeric_did41945,0.6655025051576775,0.6655025051576775,0.6535219569702327,0.715281461833186,0.6791924550545241,0.6655025051576775,0.679251399941055,0.6809755378720895,0.6638078396699086,0.6775419982316534
ionosphere_did59,0.8404426559356137,0.8404426559356137,0.7007645875251509,0.8888531187122736,0.8432193158953722,0.8404426559356137,0.755010060362173,0.8774245472837021,0.9145271629778672,0.8888531187122736
jEdit_4.2_4.3_did1048,0.6259903739355794,0.6259903739355794,0.5908552388004443,0.6504257682339875,0.6612736023694927,0.6259903739355794,0.6584968530174009,0.5960755275823768,0.6476860422065901,0.6151795631247685
jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44718,0.7549999999999999,0.7585000000000001,0.7405000000000002,0.7545,0.6865,0.7219999999999999,0.5765,0.6166666666666667,0.7545,0.7325000000000002
kc2_did1063,0.8199267399267398,0.8199267399267398,0.7931318681318682,0.841062271062271,0.839065934065934,0.8199267399267398,0.8467032967032967,0.839102564102564,0.8275824175824175,0.8275824175824175
kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44392,0.818,0.818,0.8234999999999999,0.8535,0.805,0.818,0.76,0.7846666666666667,0.8164999999999999,0.8160000000000001
machine_cpu_did733,0.9277584204413472,0.9277584204413472,0.8228803716608596,0.9521486643437862,0.91869918699187,0.9277584204413472,0.9281068524970963,0.9282229965156794,0.9229965156794424,0.91869918699187
maternal_health_risk_did46600,0.6715992781544164,0.6725844998292934,0.6755206555138272,0.7120128761644636,0.6745500658440229,0.6706091791445155,0.6844461786080085,0.6824415939130859,0.6774910988635809,0.663693118080281
mental_health_detection_did46879,0.4518518518518519,0.4555555555555555,0.4537037037037037,0.4555555555555555,0.4296296296296296,0.4555555555555555,0.4425925925925925,0.4666666666666667,0.4388888888888889,0.4055555555555555
mfeat-morphological_did962,0.9985,0.9985,0.998,0.9985,0.9985,0.9985,0.998,0.998,0.9985,0.9985
mu284_did880,0.9083959899749374,0.9083959899749374,0.8661654135338346,0.9929824561403509,0.9224937343358396,0.9083959899749374,0.831140350877193,0.9436716791979948,0.9330827067669172,0.9224937343358396
mw1_did1071,0.9181172839506172,0.9181172839506172,0.9230864197530864,0.9304938271604938,0.9230864197530864,0.9181172839506172,0.9081481481481484,0.9330555555555556,0.9230555555555554,0.915679012345679
no2_did886,0.5999999999999999,0.5999999999999999,0.568,0.6360000000000001,0.552,0.5999999999999999,0.4939999999999999,0.594,0.61,0.598
numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44493,0.511,0.511,0.5035000000000001,0.5299999999999999,0.5235000000000001,0.511,0.4985,0.5406666666666667,0.496,0.509
oil_spill_did311,0.9669131869382184,0.9669131869382184,0.9658379792922972,0.9647912162930936,0.959443622710206,0.9669131869382184,0.9519854363408808,0.9679940835134828,0.9679883945841392,0.9647798384344066
pc4_did1049,0.8916466600762604,0.8916466600762604,0.8799887021607118,0.8916348914936686,0.8690062608859389,0.8923315915831097,0.8559572565080261,0.8902650284799698,0.8861530857223556,0.8889069340488632
phoneme_did1489,0.8470000000000001,0.8470000000000001,0.8425,0.8455,0.8265,0.8414999999999999,0.7569999999999999,0.7673333333333334,0.8470000000000001,0.8445
pm10_did750,0.542,0.542,0.542,0.5860000000000001,0.5619999999999999,0.55,0.482,0.55,0.5619999999999999,0.55
pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True_did44382,0.921,0.921,0.859,0.9425,0.909,0.921,0.891,0.9253333333333332,0.9315,0.9295
pollen_did871,0.962,0.962,0.962,0.962,0.962,0.962,0.9615,0.0,0.962,0.962
prnn_synth_did464,0.852,0.852,0.8240000000000001,0.8480000000000001,0.8400000000000001,0.7959999999999999,0.5680000000000001,0.712,0.852,0.8560000000000001
pwLinear_did721,0.8099999999999999,0.8099999999999999,0.75,0.86,0.7550000000000001,0.8,0.74,0.7050000000000001,0.82,0.8049999999999999
qsar-biodeg_did1494,0.8606635071090046,0.8606635071090046,0.8255924170616113,0.8625592417061612,0.842654028436019,0.8606635071090046,0.7440758293838863,0.8350710900473933,0.8654028436018958,0.8587677725118483
quake_did772,0.532,0.532,0.5175,0.54,0.5325,0.5135,0.5155000000000001,0.5066666666666666,0.5375,0.5275000000000001
rmftsa_sleepdata_did679,0.4990052606408417,0.5136537541846007,0.5097752271640363,0.5039167862266858,0.502907699665232,0.4257962697274031,0.4072118603538976,0.4365088474414155,0.5117216642754663,0.5224629363940698
seeds_did1499,0.9,0.9,0.8761904761904761,0.938095238095238,0.9047619047619048,0.9,0.8809523809523808,0.919047619047619,0.923809523809524,0.9142857142857144
